冬瓜、黄瓜、西瓜、南瓜都能吃，什么瓜不能吃？	傻瓜 
阿美在事业并没有什么成就，为什么也有女强人的外号？	因为她常常强人所难 
小丁在游泳池游泳，游着游着，为什么水突然变深了？	因为有人刚撒了一泡尿 
住在山谷中的志明，突然想吃泡面，便支起小锅来烧水。水快开了才发现家里的泡面已吃完了，急急忙忙到山脚下的杂货店去买。30分钟后回到家，发现锅里的热水全都不见了。这究竟是为什么？	因为热水都变成冷水了 
3个人3天用3桶水，9个人9天用几桶水?	9桶水 
为什么关羽比张飞死的早？	红颜薄命 
一群女孩在正在河边洗澡，突然一陌生男人闯入，你觉得她们最想遮住哪儿？	男人的眼睛 
一个学生住在学校里，为什么上学还经常迟到？	家所在的学校不是他上学的学校 
魚与熊掌要如何才可兼得？	养一只会抓魚的熊 
A君与B君的家均位于新兴的住宅地，相距只有一百米。此地除这两家之外，还没有其他邻居，而且也没有安装电话。现在A君想邀请B君“来家里玩”，在不去B君家邀约的情况下，以何种方法能最早通知B君？假设A君身边装着十	他只要大声吼叫就可以了 
如果有机会让你移民,你一定不会去哪个国家?	天国 
为什么老虎打架,非要拼个你死我活绝不罢休？	没有人敢去劝架 
下雨天时，两个人共撐一把伞，结果两个人都被淋湿；三个人共撐一把伞时，为什么沒有人再被淋湿？	因为雨停了 
古时候，什么人没当爸爸就先当公公？	太监 
迄今为止，你所见到的最大的影子是什么?	黑夜，它是地球的影子 
一个自讨苦吃的地方在哪里？	药店 
什么东西晚上才生出尾巴呢?	流星 
不小心溺水时，若附近沒有其他人该如何自救？	把水喝光 => 但是还是会胀死 
电影院内禁止吸烟，而在剧情达到高潮时，却有一男子开始抽烟，整个银幕笼罩着烟雾。但是，却没有任何一位观众出来抗议，这是为什么？	因为那男子是电影里的主人公 
有一个穿着泳装的女人，她在松软的沙滩上漫步，这一切虽然都很正常，但是，你会发现她的身后竟然没有脚印！这是为什么?	她是倒着走的 
“好马不吃回头草”最合乎逻辑的解释是什么？	后面的草都给吃光了 
大勇说他和学校的老师很熟，在学校里哪里都能进去，但小涵偏说他有一处地方永远也不能进去，是什么地方呢？	换辆大一点的车进教室 
爷爷熟读兵书，可是每次下棋都输给别人，请问他用的是什么兵法？	兵来将挡 
早上睡过头了，结果发现是因为闹钟沒响时，你会如何？	叫闹钟该起床罗！ 
纸上写着某一份命令。但是，看懂此文字的人，却绝对不能宣读命令。那么，纸上写的是什么呢？	不要念出此文 
为什么大雁秋天要飞到南方去？	因为走太慢了 
一对健康夫妇，为什么生出只有一只右眼的婴儿？	每个人都只有一只右眼 
8个数字“8”，如何使它等于1000？	8+8+8+88+888。 
人最怕屁股上有什么东西？	一屁股的债 
马路上发生车祸碰撞事件，当警察立刻赶往时虽然司机全力相助，一人却已死亡。依司机的说法，此人并非死于车祸，而是因肺癌丧命。因同坐车的只有司机和死者二人，根本没有目击者；但是，警察却立刻明白，司机并没有说	因为这是辆灵车，死者在车祸前就经死了 
小王过十三岁的生日，为什么桌子上有十四根蜡烛?	那晚停电，有一根是用来照明的 
小明正在吹电扇,为什么还是满头大汗？	他在吹电扇，电扇没吹他 
最不听话的是谁？	聋子 
世界上有那一种花通常夏天是冰冷的，冬天是温热的？	豆花 
妻子：“糟糕，亲爱的，你送给我的钻石戒指，落到红茶里去了……” 结果，戒指又平安回到妻子的手上，而且一点也没有弄湿的痕迹。这难道是奇迹吗？	是掉到红茶罐里去了 
有一位大师武功了得，他在下雨天不带任何防雨物品出门，全身都被淋湿了，可是头发一点没湿，怎么回事?	他是和尚，没有头发 
什么地方看到的月亮最大？	在月球上 
有一个小圆孔的直径只有1厘米，而有一种体积达100立方米的物体却能顺利通过这个不孔，那么它是什么物体呢？	水 
老李刚理完发，便要求理发师将他的头发“中分”，理发师却说做不到，为什么？	理发师给老李理了光头 
高考发榜了，为什么志明榜上无名却一点也不难过？	因为志明还在念小学。 
市里新开张了一家医院，设备先进，服务周到。但令人奇怪的是：这儿竟一位病人都不收，这是为啥?	兽医院 
新买的袜子怎么会有一个洞？	袜口 
兰兰经过某市时，正巧那里发生了大地震，为什么兰兰却安然无恙呢？	她坐飞机路过 
乌龟有沒有牙齿？	你沒张开嘴巴我怎么知道？ 
幼儿园放学了，但却没有一个小朋友从大门出去，是怎么回事呢？	大门检修，请走侧门 
什么东西明明是你的，别人却用的比你多得多？	你的名字 
地上的积水因太阳照射蒸发，会愈來愈少	身上的汗水 
在狩猎公园的池子中，鳄鱼正咬住管理员的帽子游走；只见池子外的所有管理员都一起叫骂着。但是，并没有人的帽子不见了！为什么？	因为那个管理员被鳄鱼吃了 
什么书谁也没见过？	天书 
什么地方恶人们不再干扰得你心烦意乱，而只好与你生活在一起？	天堂 
什么事是林先生和林太太每天睡觉时都要做的事？	闭上眼睛 
什么人是不用电的?	缅甸人 
有一只公狗在沙漠中突然死掉了，请问为什么?	找不到电线杆和大树 
有一种棋只有两种棋子，你知道是什么棋类吗？	围棋，只有黑棋和白棋 
有对一模一样的双胞胎兄弟，哥哥的屁股有黑痣，而弟弟没有。但即使这对双胞胎穿着相同的服饰，仍然有人可立刻知道谁是哥哥，谁是弟弟。究竟是谁呢？	他们自己 
有一群小鸡在菜地里乱窜 ，小鸡是谁的？	鸡妈妈 
王太太委托征信社二十四小时日夜跟踪、监视王先生，以防他出轨， 但是为什么最后王先生还是出轨了？	因为王先生搭乘地铁出轨了 
什么情况一山可容二虎？	一公一母 
下雨天不怕雨淋的是什么?	雨伞和雨衣 
什么东西将一间屋子装满，人又能活动自如？	空气和光 
进浴室洗澡时，要先脱衣服还是裤子？	先关门比较好 
身子里面空空洞洞而却拥有一双手的是什么麼?	手套 
阿珠结婚后，为什么宁愿睡地板也不肯跟丈夫睡水床?	她有晕船的毛病 
大家都不想得到的是什么？	得病 
把24个人按5人排列，排城6行，该怎样排？	排成正六边形即可 
世界上什么东西以近2000公里/小时的速度载着人奔驰,而不必加油或其它燃料?	地球 
用1、2、3这3个数码表示的最大数字是多少？	“3”的“21”次方 
什么话可以世界通用?	电话 
为什么自由女神像老站在纽约港?	她不能坐 
一天慢24小时的表是什么表？	停着不走的表 
为什么阿郎穿着全新没破洞的雨衣,却依然弄的全身湿透？	因为他在炎热的太阳底下穿着雨衣 
一头公牛加一头母牛，猜三个字?	两头牛 
放一支铅笔在地上,要使任何人都无法跨过,怎么做?	放在墙边 
用什么擦地最干净？	用力 
熊掌和鱼什么时候才能兼得?	在饭店里 
为什么现代人越来越言而无信?	因为打电话比写信方便 
什么样的桶子永远裝不满？	馬桶 
有一种地方专门教坏人，但没有一个警察敢对它采取行动加以扫荡。这是什么地方？	看守所 
你在学校学到的知识越多，什么就会少？	不知道的东西 
小赵买一张奖票,中了一等奖,去领奖却不给?	没到领奖的日期 
在船上见得最多的是什么？	水 
用什么方法立刻可以找到遗失的图钉？	光着脚走 
什么样的强者千万别当？	强盗 
什么布是用剪子剪不断的？	瀑布 
一只毛毛虫,过一条没桥的河,它怎么过去?	变成蝴蝶飞过去的 
什么数字让女士又爱又恨？	三八 
一只鸡，一只鹅，放冰箱里，鸡冻死了，鹅却活着，为什么？	企鹅 
有一块天然的黑色的大理石，在九月七号这一天，把它扔到钱塘江里会有什么现象发生？	沉到江里 
刚起飞的飞机突然冒烟掉在地上，为什么没人受伤?	所有人都死了 
林老生大手术后换了一个人工心脏。病好了后,她的女友却马上提出分手,为什么会这样?	没有真心爱她 
世界上除了火车啥车最长？	塞车 
哪一种竹子不长在土里？	爆竹 
什么样的水不能喝？	薪水 
老师说蚯蚓切成两段仍能再生，小东照老师话去做，蚯蚓却死了，为什么?	小东是竖着将蚯蚓切开的 
满满一瓶牛奶，怎么才能先喝到瓶底的部分？	用吸管 
网要什么时候可以提水?	当水结成冰的时候 
相同内容的书，为什么小高要同时买两本？	送人 
打狗要看主人,那打老虎要看什么？	看你有没有“种” 
有一座独木桥承重80公斤,请问一个体重70公斤并带着两个重量均为10公斤的铁球的人如何在桥上通过?	颠着球 
有两个人决定进行自行车比赛，看谁的自行车跑的快，比赛在一个平坦宽敞的体育场里进行，但当比赛开始时，他们两个却谁也不愿意领先，反而都在慢悠悠的骑，已知他们两人都不会互相谦让，也没有外来因素干扰，总之，一	他们交换了自行车 
一个长宽各一米，深两米的土坑，坑里没有水，为什么有人不慎跌落下去淹死了?	因为那是粪坑 
什么时候子女相逢能并肩？	好 
小王用捕鼠笼在家抓老鼠,第二天一早发现笼子里抓了一只活老鼠,而笼子外面却有二只死老鼠四脚朝天的死老鼠,为什么？	那二只看见同伴竟然笨得上当被捕活活笑死的。 
烟缸，打一字。	盔 
小华说他能在1秒钟之内把房间和房间里的玩具都变没了，这可能吗?	把眼睛闭上 
开什么车最省油?	开夜车 
以下石头城、太阳城、凤凰城、瓜果城、汽车城、英雄城、足球城分别都是哪几个城市吗？	江苏省南京市；西藏拉萨市；广西南宁市；甘肃省兰州市 
一字六笔无竖横，同心同德力无穷,打一字。	众 
你能否用3跟筷子搭起一个比3大比4小的数？	搭成圆周率“∏” 
中国人最早的姓氏是什么?	是善，没听说人之初，姓本善吗 
一个招牌突然由高处掉落,砸向并排行走的五个人,为什么只有三个人受伤?	因为是麦当劳（M）的招牌 
去教堂向神父忏悔之前，都事先做了些什么事?	犯罪 
伴奏。打一成语	肋人为乐 
地球上什么东西每天要走的距离最远?	地球（自转一周） 
被鳄鱼咬和被鲨鱼咬后的感觉有什么不同?	没有人知道 
环球旅行。猜一现代香港名星名	周星驰 
小戴手里拿着火柴走到厨房，这有一个煤气灶和一个酒精灯，他如果想烧开水，请问：他应该先点燃什么？	火柴 
什么时候最好还是要高高举起你的双手好些?	有人用枪指着你的时候 
不相信恋人。猜一公安用语	怀疑对象 
爸爸问小明，什么东西浑身都是漂亮的羽毛，每天早晨叫你起床？小明猜对了，但却不是鸡，那是什么？	是鸡毛掸子 
离婚的主要起因是什么？	结婚 
请仔细想一想，你所见到的最大影子是什么？	地球的影子，即每天的晚上 
三个孩子吃三个饼要用3分钟，九十个孩子九十个饼要用多少时间?	三分钟，大家一起吃 
阿勇做事总是拖泥带水，但上级部门总是表彰他，这是为什么？	他是泥瓦匠 
木兰之子，猜食名物一	花生 
什么东西经常会来，但却从没真正来过？	明天 
什么事可以在这里不仅可以练就一身钢筋铁骨，而且能成就一双不惧“风雨”的眼睛？	洗澡 
三更半夜回家才发现忘记带钥匙,家里又没有其他人在,这时你最大的愿望是什么?	门忘锁了 
如果你有一只下金蛋的母鸡，你该怎么办？	打自己一嘴巴，不要做梦了！ 
小明家住在五楼，可是电梯坏了，他自己也没有走楼梯，他却上了五楼回到家里，这可能吗?	他妈妈背他上楼 
一字四十八个头，内中有水不外流。猜一字。	井。此迷的关键理解出四个十和八个头，而不是四十八个 
有一个人被从几千米的高空掉下来的东西砸在头上，却没有受伤，为什么？	砸下来的是雪花 
要想使梦成为现实，我们干的第一件事会是什么?	醒来 
人在什么情况下会变得目中无人?	眼睛瞎了的时候 
有两个人，一个面朝南，一个面朝北的站立着，不准回头，不准走动，不准照镜子，问他们能否看到对方的脸？	当然能，他们是面对面站着的 
我不会轻功，反一只脚搭在鸡蛋上，鸡蛋却不会破，这是为什么？	另一只脚站在地上 
有半瓶酒，瓶口用软木塞塞住，在不敲碎瓶子，不准拔去木塞，不准在塞子上钻孔的情况下，怎样喝到瓶子里的酒？	把塞子推到瓶子里去 
一种饮料，由恶意和谎言加上微量事实配制而成的，能有效地削弱领导的洞察力，是什么？	小报告 
什么人每天靠运气赚钱？	煤气工人 
什么时候四减三会等于五？	四个角的东西切去一个角 
小张说的相声大家都喜欢听，为什么他有的时候说话却要付钱?	打公用电话肯定要付钱 
什么东西有五个头，但人不觉的它怪呢?	手和脚 
如果明天就是世界末日，为什么今天就有人想自杀？	去天堂占位子	
什么是在废除死刑制度之后的民主、法治国度里，授予医生的一种宣判死刑的特权？	癌症
在一个寒冷冬日清晨，有一位西装革履的先生在河里拼命游水，你说这是为什么?	他不小心掉进河里了 
黑人和白人生下的婴儿，牙齿是什么颜色的?	婴儿没有牙齿 
什么枪把人打跑却不伤人？	水枪 
大部分人出生在什么地方？	产床上 
一架飞机坐满了人，从万米高空落下坠毁，为什么却一个伤者也没有？	因为为都摔死了 
猪的全身都是宝，用处很大，猪对人类还有什么用处?	骂人 
人们能以坦然、自得的心情面对贷币大幅度贬值的地方是什么地方？	精品屋 
如果有人向你问路,你最怕听到哪一句话?	这里是地球吗？ 
高骑自行车骑了十公里，但周围的景物始终没有变化。为什么?	因为他骑的健身车 
每对夫妻在生活中都有一个绝对的共同点，那是什么？	同年同月同日结婚 
一个被指控的人，在其清白无辜被证明之前，他是有罪的。他是什么人？	被告 
家有家规，国有国规，那动物园里有啥规?	乌龟 
9个橙分给13个小朋友,怎么分才公平?	榨成汁 
一个老老人头顶上只剩三根头发，有一天他要参加重要盛会，为什么他仍忍痛拔掉其中一根头发呢？	因为他要梳中分 
夜夜看落花　（打一礼貌用语）	多谢 
有人说，女人象一本书，那么胖女人象什么书？	合订本 
书店买不到的书是什么书？	秘书 
六岁的小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理?	爸爸是修理小明 
没有铁栏杆的牢笼。在这种牢里，患者面临现代医学所知的各种传染性病毒的威胁，并经常忍受种种科学的折磨。这是哪里？	医院 
什么东西在用之前是干的，用完了以后是湿的，而且在使用的过程中还给人以沁人心脾的满足感？	茶袋 
阿里巴巴和四十大盗的故事是东方夜谭还是西方夜谭?	天方夜谭 
冶金学------打一本书（小说）名	《钢铁是怎样炼成的》。 
王先生养了一只很漂亮的孔雀,有一天,王先生的孔雀在先生的花园里生了一只蛋,请问这只蛋应属于谁的?	孔雀的 
当地球爆炸时，什么地方最安全?	地狱 
农夫养了10头牛，为什么只有19只角？	因为一只是犀牛 
上无片瓦遮身，下无立锥之地。腰间挂个葫芦，只知阴阳之理。猜一字。	卜 
有一次，老李买了一只狗，买了一篮子骨头，他休息时，用一根5米的绳子将狗拴在路边树上，将骨头放在离狗8米的地方，但过了一会儿，他发现骨头被狗叼走了，你知道为什么吗？	狗在树的另一端，骨头在这一端时，他们相距8米 
换心手术失败，医生问快要断气的病人有什么遗言要交代，你猜他会说什么？	其实你不懂我的心 
有一只羊，一年吃了草地上一半的草，问它把草全部吃光，需要多少年？	永远吃不完，因为草每年都在长！ 
妇女们在不知不觉中丢失掉的东西是什么？	美貌 
哪个连的人员比一般连队的人员要多得多？	大连 
狐狸精最擅长迷惑男人,那么什么"精"男女一起迷?	酒精 
盒子里有四块蛋糕，四个小朋友，每人都分到一块，但盒子里还留下一快蛋糕，为什么？	其中一个小朋友连盒子一起拿走，所以盒子里还有一个蛋 
杰克应该把游艇开到红海去，却到了黑海，为什么？	他是色盲 
为什么一只青蛙在水里游不过一只狗？	因为比赛中禁止用蛙泳 
阿呆从热气球上掉下来，却没有受伤，为什么？	因为热球就在地面上 
什么地方开口说话要付钱?	打电话 
小明每天写信给他的女朋友，每天寄七封，但他的女朋友珍妮，每天却只收到一封信，为什么？	因为他有七个女朋友 
给你一本杂志和一个火柴盒，你能使杂志只有三分之一放在桌边而不掉落下来吗?	把杂志掀开三分之一放在桌边，自然就不会掉下来了 
只能一个人去做的事是什么？	做梦 
南来北往的二个人，一个挑担，一个背包，他们没争也没吵，也没有人让路，却顺利的通过了独木桥，为什么	南来北往是一个方向，当然可以顺利的度过独木桥 
黑头发有什么好处？	不怕晒黑 
什么东西越洗越脏？	水 
有风不动无风动，不动无风动有风(猜一物)	扇子 
往一个篮子里放鸡蛋，假定篮子里的鸡蛋数目每分钟增加1倍，这样，12分钟后，篮子满了。那么，请问在什么时候是半篮子鸡蛋?	11分钟 
侍儿扶起娇无力（打一食品名）	玉环稣 
警方发现一出智慧型的谋杀案,現场沒有留下任何线索,也沒有目击者,但警方在一小时后宣布破案,为什么	凶手自首了 
什么酒价格最贵?	喜酒 
有两面与你一样高的大镜子平行竖放，如果你脱光了站在中间就会有很多人像排成一列反映出来，那么，将前后左右上下不留一点缝隙的用镜子封成一个立体房间，并且，镜面都朝内，当一个裸体的人进到里面，会看到什么？	因为不留一点缝隙，光线透不进来，所以里面乌七嘛黑什 
江河流水归一处（打一字）	“珂”，因为“江河”两字去“水”后成“工可”，再加 
阿研的口袋里共有10个硬币，漏掉了10个硬币，口袋里还有什么？	一个破洞 
阿明给蚊子咬了一大一小的包，请问较大的包，是公蚊子咬的，还是母蚊子咬的？	公蚊不咬人 
当今社会，个体户大都靠什么吃饭?	嘴巴 
一个人在什么情况下，才处于真正的任人宰割的地步？	手术台上 
一个人被关在密闭的房间里，只有一扇门，但无法拉开，他该如何出来？	把门推开 
什么时候太阳会从西边出来？	发誓的时候 
什么时候，四减一等于五？	四边形，减去一个角，变成五边形 
四个9加起来为什么等于100？	9/9+99 
小王坐着对小李说：“我坐的这个地方，你永远也不可能坐的到。”你知道小王坐在哪里吗？	小王坐在小李肩上 
为什么一瓶标明剧毒的药对人却无害?	只要你不去喝它 
文文在洗衣服，但洗了半天，她的衣服还是脏的，为什么？	她在洗别人的衣服 
一个不会游泳的人掉进了水里却没有淹死，为什么?	他穿了救生衣 
亚当和夏娃结婚后最大的遗憾是什么?	没人来喝喜酒. 
数字0到1之间加一个什么号，才能使这个数比0大，而比1小呢？	加个“.”成为 0.1 
有一种细菌，经过1分钟，分裂成2个，再过1分钟，又发生分裂，变成4个。这样，把一个细菌放在瓶子里到充满为止，用了1个小时。如果一开始时，将2个这种细菌放入瓶子里，那么，到充满瓶子需要多长时间?	59分钟 
刘邦破咸阳—城市名一	秦皇岛 
有一样东西，你只能用左手拿它,右手却拿不到,这是什么东西?	右手 
有两对母女，到餐厅吃午餐，每人各叫一个70元的套餐，付账时却只付210元，为什么？	她们是祖孙三代 
什么样的轮子只转不走？	风车轮 
法国人的笑声跟我们有什么不同？	他们是用法语笑的 
三国谜:猛翼德千杯不醉(乐人一)	张洪量 
跳伞时，怎样才能分的出老兵和新兵?	新兵的屁股上有鞋印。 
什么鞋子，你绝不会穿着它去逛街?	溜冰鞋 
一只凶猛的饿猫，看到老鼠，为何却拨腿就跑？	去追老鼠 
“水蛇”“蟒蛇”“青竹蛇”哪一个比较长？	青竹蛇 
重男轻女打一地名	贵阳 
共公汽车上，两个人正在热烈的交谈，可围观的人却一句话也听不到，这是因为什么？	这是一对聋哑人 
那一种飞弹可以用每小时３０公里的超低速，并贴近地表二公尺左右的高度直扑目标而去，中途还可以９０度急转弯?	戴在车上的飞弹。 
电单车时速80公里，向北行驶。有时速20公里的东风，请问电单车的烟，朝那个方向吹？	电车是没有烟的 
别人跟阿丹说她的衣服怎么没衣扣，她却不在乎，为什么？	因为她的衣服只有拉链，没有扣子 
超人使用超高性能望远镜观察地球时，发现外星人正且欲毁灭地球。超人只要使用瞬间移动装置，便可于一秒内到达地球，请问超人究竟能否拯救地球?	那要看外星人毁灭地球的速度了， 如果外星人从几万光年 
男人在一起喝酒，为什么非划拳不可？	敬酒不吃吃罚酒 
为什么警察对闯红灯的汽车司机视而不见？	汽车司机在步行。 
小王13岁的生日为何点了14根蜡烛?	用一根点着那十三根 
用椰子和西瓜打头哪一个比较疼？	头比较疼 
現在有二枚市面常用的硬币，面值共为六毛，其中有一枚不是一毛，请问二枚硬币面值各为多少	一枚不是一毛，那另一枚是一毛，因此是一毛和五毛 
“Kiss”是动词,形容词还是名词?	连词 
楚楚的生日在三月三十日，请问是哪年的三月三十日？	每年的三月三十日 
甲、乙两只狼狗举行1000米赛跑，假如两只狼狗同时跑到终点，那么哪只狼狗出汗多？	狼狗不出汗 
为什么人们要到市场上去？	因为市场不会来 
嫦娥为什么喜欢住在月球上？	嫦蛾爱吃兔肉 
在香港生活的人，是不是可以埋葬在广州呢	不可以，活人是不能埋葬的 
梁山伯和祝英台变成了一对比翼双飞的蝴蝶之后怎样了？	生了一堆毛毛虫 
一个人从五十米高的大厦上跳楼自杀,重重的摔在了地上,为什么没被摔死?	他在半空就已经吓死了 
有个汽车司机，在交叉路口上突然撞进人群中，全速向前跑，警察也不责怪他。你说这是为什么？	汽车司机今天没开车 
下雪天，阿文开了暖气，关上门窗，为什么还感到很冷？	他在门外 
一个人被老虎穷追不舍，突然前面有一条大河, 他不会游泳,但他却过去了，为什么？	昏过去了 
从前有只鸡，鸡的左面有只猫，右面有条狗，前面有只兔子，鸡的后面是什么？	注意第一句话，从的前面有只鸡，那么鸡的后面当然是“ 
阿呆开车去动物园玩，动物园很近，他的路并没有走错，为何却总到不了目的地？	早开过了 
IX---这个罗马数字代表9，如何加上一笔，使其变成偶数？	加S，因为SIX是六的意思' 
既没有生孩子、养孩子也没有认干娘，还没有认领养子养女就先当上了娘，请问：这是什么人？	新娘 
在什么时候1+2不等于3？	算错了的时候 
孔子与孟子有何不同？	“子”的位置不同。孔子的“子”在左边，孟子的“子” 
在地上有100元钱和一块肉骨头，可是阿明却拣起了肉骨头而没有捡钱，为什么？	这里的“阿明”是条狗的名字 
蝎子和螃蟹玩猜拳，为什么它们玩了两天，还是分不出胜负呢？	两个都出剪刀 
铁锤锤鸡蛋为什么锤不破？	锤怎么会破 
有一本书，兄弟俩都想买。如果用哥哥的钱单买要缺5元钱，如果用弟弟的钱买缺1角钱，如果两人把钱和起来只买一本书，钱仍然不够。那么这本书的价钱是多少呢？	这本书的价钱是5元钱；哥哥没有钱，弟弟有4元9角 
进动物园后，最先看到的是哪种动物？	人 
一对侨居意大利的中国夫妇，某天太太到市场买鸡胸，因为她不懂意语，只好学鸡叫，再指指自己的胸部，想买鸡角便指自己的脚，老板看懂了；后来她想买香肠，却回家叫丈夫来，为什么？	因为他丈夫懂意大利语 
一群惧内的大丈夫们正聚集在一起商量怎样重振男子汉的雄风，突然听说他们的老婆来了，大家四处逃窜，惟独一人没有跑，为什么？	吓死了 
马亚买了新音响，电源开了录音带也放了，为什么没有声音呢？	停电了 
小张开车，不小心撞上电线杆发生车祸，警察到达时车上有个死人，小张说这与他无关，警察也相信了，为什么？	小张是开灵车的 
报纸上登的消息不一定百分之百是真的，但什么消息绝对假不了？	报纸上的年、月、日 
李哲看起来平平常常，并无什么特别之处，但他却可以连续数小时不眨眼睛，他是怎么做到的呢？	把眼睛闭上就可以做到了 
两对父子去买帽子，为什么只买了三顶？	是祖孙三人 
十只鸟，小明开枪打死了一只，其它九只却都没有飞走，为什么?	那是一群驼鸟 
袋鼠和猴子参加跳高比赛，为什么猴子一开始就赢了？	袋鼠双脚起跳犯规 
什么贵重的东西最容易不翼而飞?	人造卫星 
有一个人，他是你父母生的，但他却不是你的兄弟姐妹，他是谁？	你自己！！ 
农民、工人、军人、科学家都靠什么吃饭？	靠嘴吃饭 
问医生病人的情况,医生只举起5个手指家人就哭了,是什么原因呢?	三长两短 
一位服装模特儿小姐，即使在平日也穿着未经发表的新款服饰，但她常常看到穿着和她完全相同服饰的人。这是为什么？	因为她看到镜子中的自己 
有一种水果，没吃之前是绿色的，吃下去是红色的，吐出时却是黑色的，請問是请问这是什么水果?	西瓜 
有一死刑犯，在执刑时挨了两枪还未死，等挨了第三枪才死，为什么？	他里面穿着三枪牌内衣 
什么水要按计划发放?	薪水 
拥有很多牙齿,能咬住人的头发的东西是什么麼?	发夹 
太平洋的正中间是什么？	“平” 
小红与妈妈都在同一个班里上课，这是为什么？	妈妈 是小红的班主任 
哪儿的海不产鱼?	辞海 
什么时候时钟会响13下？	坏的时候 
一架飞机在天空飞翔时突然没油了，请问：什么东西会最先掉下来？	油表的指针。 
在罗马数字中，零该怎么写？	罗马数字没有零 
为什么白鹭莺总是缩者一只脚睡觉？	缩两只脚就会跌 
警察面对两名歹徒，但他只剩下一颗子弹，他对歹徒说：谁动就打谁，结果没动的反而挨子弹，为什么？	因为不动较好打 
小张被关在一间并没有上锁的房间里，可是他使出吃奶的力气也不能把门拉开，这是怎么回事？	推开门就行 
提早放工回家的小李，一进卧室，看見隔壁的小刘与自己老婆睡在床上，但小李却毫不动怒，为什么？	因为小刘是女的 
胖胖是个颇有名气的跳水运动员，可是有一天，他站在跳台上，却不敢往下跳。这是为什么？	因为水池里没有水 
刮风的晚上，停电了，晓晓上床睡觉时忘了吹蜡烛，第二天醒来时，蜡烛居然还有很长一支没有燃完，怎么回事呢？	被风吹熄了 
中国哪个地方的东西最不便宜？	贵州 
说从天津坐火车到北京1个小时15分钟,问火车从天津出发1个小时45分钟后在哪?	在铁轨上 
什么东西越热越爱出来？	汗。 
王子吻了睡美人之后，睡美人为何沒有起來？	她在赖床 
失恋的黄先生在一个月黑风高的晚上,走上街头,迎面过来飞车,他站在两个车灯中间,车子呼啸而过,人竟毫发无损,为什么?	迎面而来的是两辆摩托车，而不是汽车 
一对健康的夫妇,为什么会生出没有眼睛的婴儿?	鸡生蛋 
什么越洗越脏，不洗有人吃，洗了没人吃？	水 
台湾最大的湖是什么湖？	澎湖 
沙沙声称自己是辨别母鸡年龄的专家，其绝招是用牙齿，为什么？	把鸡吃了亲口辨认母鸡的老嫩 
有一座大大厦发生火灾，陈先生逃到頂楼后，想跳过距离只有1米的隔壁楼顶，结果却摔死了，为什么？	因为高度相差太远 
小明只会花钱，天天花很多钱,可最后却成了百万富翁,为什么?	以前是亿万富翁 
什么时候有人敲门，你绝不会说请进?	在厕所里的时候 
什么东西往上升永远掉不下来？	年龄。 
服裝仪容检查时，明明有理头发，为什么教官不信？	秀才遇到兵，「有理」說不清 
有个男人站在时速240公里的列车顶上，虽然他不是一个会飞墙走壁的超人，但是，他仍然显得从容自如，毫不紧张，为什么？	因为当时火车还没开动 
小明拿了一百元去买一个七十五元的东西，但老板却只找了五元给他，为什么？	因为他只给了八十元给老板 
由于什么原因死亡的人最多？	抢救无效。 
乌龟为什么会突然「一个头两个大」？	因为乌龟正在想这个问题 
今天下午到旺角看电影，到了旺角，半个人也看不見，为什么？	人很多，但没有半个人 
两只狗赛跑，甲狗跑得快，乙狗跑得慢，跑到终点时，哪只狗出汗多?	狗不会出汗 
有一个眼睛瞎了的人，走到山崖边上，突然停住了，然后往回走。	单眼瞎。 
考试时，小光全部都抄小明的，为什么小明得到一百分，小光却零分呢？	因为小光连名字都抄小明的 
什么照片看不出照的是谁？	X光片 
小胖为什么吃两个便当？	因为三个便当吃不下 
时钟敲了十三下,请问现在该做什么呢	修理钟表 
地球末日来临。地球上最后一位男人正坐在书桌前写遗书，突然听到敲门声，是幽灵，外星人，动物吗？全都不是。更不是因风或石子等无生命的东西发出的声音，那么是谁发出的敲门声呢？	女人 
有种动物，大小像只猫，长相又像虎，这是什么动物?	小老虎 
大海上有一艘很大的舰艇，它本来的定员是60人，结果，在上到第59人的时候，它居然就沉进海里了！这是为什么？（船内没有怀孕以及体重过重的人存在；也没有重物上船）	这是一艘潜水艇 
一本书放在地上什么地方你跨不过去？	放在一墙角里 
养过电子鸡和电子狗的人，会有什么感受？	鸡犬不宁 
有一个年轻人，他要过一条河去办事；但是，这条河没有船也没有桥。于是他便在上午游泳过河，只一个小时的时间他便游到了对岸，当天下午，河水的宽度以及流速都没有变，更重要的是他的游泳速度也没有变，可是他竟用了	两个半小时就是一小时啊 
如果诸葛亮活着，世界现在会有什么不同？	会多一个人。 
牛顿因掉落苹果发现引力；如你在椰树下等被椰子打中会发现什么？	会发现这种行为很愚蠢 
如何才能把你的左手完全放在你穿在身上的右裤袋里,而同时把你的右手完全放在你穿在身上的左裤袋里？	反穿裤子 
先有男人，还是先有女人?	因为男人是先生的，所以叫“先生” 
一天夜里狂起了狂风，这时一个桌子上总共有12支点燃的蜡烛，先被风吹灭了3根，不久又一阵风吹灭了2根，最后桌子上还剩几根蜡烛？	5根，其它的烧完了 
猴子每分钟能掰一个玉米，在果园里，一只猴子５分钟能掰几个玉米?	没掰到一个 
